symbol,profile.mktCap,profile.companyName,profile.industry,profile.description,profile.sector
JCI,2.66E+10,Johnson Controls International plc,Building Materials,"Johnson Controls International PLC manufacturers, installs, and services HVAC systems, building management systems and controls, and industrial refrigeration systems. The firm along with Tyco International offers fire and security products and services.",Basic Materials
VICI,1.17E+10,VICI Properties Inc.,REITs,"Vici Properties Inc is a Real Estate Investment Trust. It is an owner, acquirer and developer of gaming, hospitality and entertainment destinations. It also owns and operates golf courses.",Real Estate
VST,1.03E+10,Vistra Energy Corp.,Utilities - Independent Power Producers,"Vistra Energy Corp through its subsidiaries is in electricity market activities including power generation, wholesale energy sales and purchases, commodity risk management and retail sales of electricity to end users.",Utilities
NWL,7.07E+09,Newell Brands Inc.,Consumer Packaged Goods,"Newell Brands Inc is engaged in the household products market. Its products include stationery material such as pens & markers, food storage products and hygiene systems.",Consumer Defensive
EPD,4.76E+10,Enterprise Products Partners L.P.,Oil & Gas - Midstream,"Enterprise Products Partners LP is a limited partnership which is engaged in transports and processes natural gas, natural gas liquids, crude oil, refined products and petrochemicals.",Energy
KMB,4.72E+10,Kimberly-Clark Corporation,Consumer Packaged Goods,"Kimberly-Clark Corp is engaged in the manufacturing and marketing of a range of products made from natural or synthetic fibers using technologies in fibers, nonwovens, and absorbency. It offers personal care, consumer tissue, and K-C professional.",Consumer Defensive
AEP,4.26E+10,American Electric Power Company Inc.,Utilities - Regulated,"American Electric Power Co Inc is a regulated utilities operator. The company generates, transmits and distributes electricity to more than 5 million retail customers across over 10 states in the United States of America.",Utilities
IT,1.17E+10,Gartner Inc.,Application Software,"Gartner Inc is an information technology research and advisory company. It offers services to business leaders in high-tech and telecom enterprises and professional services firms, to supply chain professionals and technology investors.",Technology
CAT,7.26E+10,Caterpillar Inc.,Farm & Construction Machinery,"Caterpillar Inc caters to the farming industry in the United States. It manufactures construction & mining equipment, diesel & natural gas engines, industrial gas turbines and diesel-electric locomotives.",Industrials
AU,1.02E+10,AngloGold Ashanti Limited,Metals & Mining,AngloGold Ashanti Ltd is a gold mining company. The firm conducts its mining activities at various sites that are across the world.,Basic Materials
MYL,9.54E+09,Mylan N.V.,Drug Manufacturers,"Mylan NV is a generic pharmaceutical manufacturer which develops, licenses, manufactures, markets and distributes generic, over-the-counter (OTC) products in a variety of dosage forms and therapeutic categories.",Healthcare
XRAY,1.06E+10,DENTSPLY SIRONA Inc.,Medical Instruments & Equipment,"Dentsply Sirona Inc is a designer, developer, manufacturer and marketer of consumable dental products for the professional dental market. It also manufactures and markets other consumable medical device products.",Healthcare
KKR,2.67E+10,KKR & Co. L.P. Representing Limited Partnership Interest,Asset Management,"KKR & Co LP is a global investment firm which invests across multiple asset classes including private equity, energy, infrastructure, real estate, growth equity, credit and hedge funds.",Financial Services
CMC,2.28E+09,Commercial Metals Company,Steel,"Commercial Metals Co manufactures, recycles and markets steel and metal products and related materials and services. Its products and services include metal recycling, mill products, fabrication,construction products etc.",Basic Materials
SYMC,13206780000,Symantec Corporation,Application Software,"Symantec Corp provides software solutions attending to security and backup. Its products and services protect data across mobile devices, enterprise data centers and cloud-based systems.",Technology
TMUS,1.28E+11,T-Mobile US Inc.,Communication Services,"T-Mobile US Inc is a US-based wireless company which provides wireless communications services, including voice, messaging and data in the postpaid, prepaid and wholesale markets. It also provides wireless devices and accessories.",Communication Services
RMP,2365573995,Rice Midstream Partners LP representing limited partner interests,Oil & Gas - Midstream,"Rice Midstream Partners LP is engaged in gathering and compression of natural gas and providing water services. The company owns, operates, develops and acquires midstream assets in the Appalachian Basin.",Energy
NRG,8.88E+09,NRG Energy Inc.,Utilities - Independent Power Producers,"NRG Energy Inc is engaged in the utilities sector. Its primary business involves operation of power generation facilities, trading of energy, capacity & related products; transacting in & trading of fuel & transportation services.",Utilities
CPB,1.50E+10,Campbell Soup Company,Consumer Packaged Goods,"Campbell Soup Co operates in the packaged foods industry. The products within its scope include meals and beverages, biscuits and snacks.",Consumer Defensive
ATHM,1.04E+10,Autohome Inc. American Depositary Shares each representing one class A.,Online Media,Autohome Inc through its subsidiaries is engaged in providing online advertising and dealer subscription services in China. The Company offers online destination for automobile consumers through its two websites and through mobile application.,Technology
WRB,1.13E+10,W.R. Berkley Corporation,Insurance - Property & Casualty,"WR Berkley Corp is an insurance holding company with operations in United States. The company operates in two segments of the property casualty insurance business: Insurance, and Reinsurance.",Financial Services
MOMO,4.29E+09,Momo Inc.,Online Media,Momo Inc is a mobile-based social networking platform company. The Company enables its users to establish and expand social relationships based on location and interests.,Technology
TGT,6.04E+10,Target Corporation,Retail - Defensive,Target Corp is one of the largest department store retailer in North America. It is engaged in operating general merchandise discount stores.,Consumer Defensive
GLW,2.10E+10,Corning Incorporated,Computer Hardware,"Corning Inc is the leading manufacturer and supplier of specialty glass and ceramics. Its segments are Display Technologies, Optical Communications, Environmental Technologies, Specialty Materials and Life Sciences.",Technology
MAS,1.26E+10,Masco Corporation,Building Materials,"Masco Corp provides homebuilding solutions the United States. Its array of products entails faucets, showerheads, paints and coatings.",Basic Materials
DOV,1.54E+10,Dover Corporation,Industrial Products,"Dover Corp is a multi-business operator in North America. It has footprint in engineered systems, energy, fluids and refrigeration and food equipment businesses.",Industrials
HRL,2.59E+10,Hormel Foods Corporation,Consumer Packaged Goods,"Hormel Foods Corp is engaged in manufacturing and sale of variety of food products primarily, pork and turkey and the marketing of those products throughout the United States and internationally.",Consumer Defensive
TECK,6.25E+09,Teck Resources Ltd,Metals & Mining,"Teck Resources Ltd is a mining company whose activities include exploration, development, processing, smelting, refining and reclamation. It has operations in Canada, United States, Chile and Peru. The company's products are coal, copper, zinc and lead.",Basic Materials
AES,9.20E+09,The AES Corporation,Utilities - Regulated,"The AES Corp is a power generation and utility company. It is engaged in providing affordable, sustainable energy through its diverse portfolio of thermal and renewable generation facilities as well as distribution businesses.",Utilities
PPL,2.18E+10,PPL Corporation,Utilities - Regulated,PPL Corp is an energy and utility holding company operating through its subsidiaries. The company generates and markets electricity in the northeastern and western U.S. and in the delivery of electricity in Pennsylvania and the U.K.,Utilities
SEE,5.26E+09,Sealed Air Corporation,Packaging & Containers,"Sealed Air Corp is engaged in three reporting segments, Food care, Diversey Care and Product care. It mainly provides cleaning, sanitation, and housekeeping solutions to the food service industry.",Consumer Cyclical
FRC,1.98E+10,FIRST REPUBLIC BANK,Banks,"First Republic Bank is engaged in providing personalized, relationship-based services, including private banking, private business banking, real estate lending and wealth management services, including trust and custody services.",Financial Services
STX,1.41E+10,Seagate Technology PLC,Computer Hardware,"Seagate Technology PLC is a producer of hard disk drives (HDD) globally. It designs, develops, and manufactures a broad range of HDDs used in desktop PC, notebook PC, game consoles, digital video recorders, and enterprise storage markets.",Technology
ADBE,1.91E+11,Adobe Systems Incorporated,Application Software,"Adobe Systems Inc offers a line of software and services for content creation and the measurement of digital advertising and marketing. Its software applications includes Photoshop and Lightroom, Adobe Analytics, Media Optimizer and Campaign Manager.",Technology
K,2.27E+10,Kellogg Company,Consumer Packaged Goods,"Kellogg Co is engaged in the manufacturing and marketing of ready-to-eat cereal and convenience foods. Its products include cereal, cookies, crackers, and other packaged foods.",Consumer Defensive
RTN,3.26E+10,Raytheon Company,Aerospace & Defense,"Raytheon Co offers contractual services to the US defense sector. It operates through five segments: Integrated Defense Systems, Intelligence and Information, Missile Systems, Space and Airborne Systems, and Forcepoint.",Industrials
TSLA,1.74E+11,Tesla Inc.,Autos,"Tesla Inc is a vertically integrated sustainable energy company. It designs, develops, manufactures and sells high-performance fully electric vehicles and electric vehicle powertrain components.",Consumer Cyclical
CY,8.93E+09,Cypress Semiconductor Corporation,Semiconductors,"Cypress Semiconductor Corp operates as a semiconductor company in the United States and internationally. It delivers various high-performance, mixed-signal, programmable solutions.",Technology
TSM,2.83E+11,Taiwan Semiconductor Manufacturing Company Ltd.,Semiconductors,"Taiwan Semiconductor Manufacturing Co Ltd engages in the manufacturing, selling, packaging, testing and computer-aided design of integrated circuits and other semiconductor devices. In addition, it also manufactures masks.",Technology
STL,2.78E+09,Sterling Bancorp,Banks,"Sterling Bancorp is a provider of financial services. The company functions through the Sterling National Bank, which delivers deposit, lending, and wealth management products to commercial businesses and affluent consumers.",Financial Services
NYCB,5.36E+09,New York Community Bancorp Inc.,Banks,New York Community Bancorp Inc has over $45 billion of total assets and operations spread across various locations across five states. It operates most of its business operations from the New York metropolitan area.,Financial Services
NBL,5.65E+09,Noble Energy Inc.,Oil & Gas - E&P,"Noble Energy Inc is an independent energy company. It is engaged in crude oil, natural gas and natural gas liquids (NGLs) exploration and production.",Energy
FDC,25360500000,First Data Corporation Class A,Business Services,"First Data Corp is a provider of electronic commerce and payment solutions for merchants, financial institutions and card issuers globally. It segments are Global Business Solutions, Global Financial Solutions, Network & Security Solutions.",Industrials
BAH,1.10E+10,Booz Allen Hamilton Holding Corporation,Business Services,"Booz Allen Hamilton Holding Corp provides management and technology consulting, engineering, analytics, digital solutions, and cyber expertise to U.S. and international governments, major corporations, and not-for-profit organizations.",Industrials
BUFF,7960000000,Blue Buffalo Pet Products Inc.,Consumer Packaged Goods,"Blue Buffalo Pet Products Inc is a manufacturer of premium all-natural dog and cat foods across different product types, diet types, breed sizes for dogs, lifestages, flavors, product functions and textures and cuts for wet foods.",Consumer Defensive
ARI,1.71E+09,Apollo Commercial Real Estate Finance Inc,REITs,"Apollo Commercial Real Estate Finance Inc invests, acquires, and manages various real-estate related debt investments across the United States. The subordinate loans and first-mortgage loans account for the vast majority of the portfolio on a cost basis.",Real Estate
MET,3.77E+10,MetLife Inc.,Insurance - Life,"MetLife Inc provides life insurance, annuities, employee benefits and asset management in the United States, Japan, Latin America, Asia, Europe and the Middle East.",Financial Services
AFL,2.88E+10,AFLAC Incorporated,Insurance - Life,Aflac Inc is a general business holding company and acts as a management company. It offers supplemental health and life insurance in the U.S. and Japan.,Financial Services
TPR,4.57E+09,Tapestry Inc.,Retail - Apparel & Specialty,"Tapestry Inc functions in the luxury goods industry. Its products include women's and men's bags, accessories, business cases, footwear, wearables and jewelry.",Consumer Cyclical
WPM,1.71E+10,Wheaton Precious Metals Corp (Canada),Metals & Mining,Wheaton Precious Metals Corp is pure precious metals streaming company. Its portfolio includes Hudbay's Constancia project and Vale's Salobo and Sudbury mines.,Basic Materials
LNT,1.27E+10,Alliant Energy Corporation,Utilities - Regulated,Alliant Energy Corp operates as a regulated investor-owned public utility holding company. It provides regulated electricity and natural gas services in the Midwest through its subsidiaries.,Utilities
UTX,1.30E+11,United Technologies Corporation,Aerospace & Defense,United Technologies Corp is a diversified industrial conglomerate. It provides high technology products and services to the building systems and aerospace industries.,Industrials
LKQ,8.66E+09,LKQ Corporation,Autos,"LKQ Corp is a provider of alternative and mechanical replacement products. The company distributes vehicle replacement parts, components, and systems used in repair and maintenance as well as specialty products and accessories.",Consumer Cyclical
PCG,6.26E+09,Pacific Gas & Electric Co.,Utilities - Regulated,"PG&E Corp is an electric utility company that provides electricity as well as natural gas distribution, electricity generation, procurement, and transmission, and natural gas procurement, transportation, and storage.",Utilities
CLR,6.96E+09,Continental Resources Inc.,Oil & Gas - E&P,"Continental Resources Inc is an independent crude oil and natural gas exploration, and production company. The company operates primarily in the Williston Basin and in southern Oklahoma.",Energy
FCAU,2.05E+10,Fiat Chrysler Automobiles N.V.,Autos,"Fiat Chrysler Automobiles NV engages in the designing, engineering, manufacturing and selling of passenger cars, light commercial vehicles, components and production systems worldwide. It manufactures automotive parts, engines, and industrial robots.",Consumer Cyclical
LULU,4.12E+10,lululemon athletica inc.,Retail - Apparel & Specialty,Lululemon Athletica Inc is a designer and retailer of technical athletic apparel operating in North America and Australia. Its yoga-inspired apparel is marketed under the lululemon athletica and ivivva athletica brand names.,Consumer Cyclical
UAA,4.68E+09,Under Armour Inc. Class A,Manufacturing - Apparel & Furniture,"Under Armour Inc is a developer, marketer and distributor of branded performance apparel, footwear and accessories for men, women and youth. It markets its products under the brand name of Under Armour, Heatgear, Coldgear, and Allseasongear.",Consumer Cyclical
CAG,1.64E+10,ConAgra Brands Inc.,Consumer Packaged Goods,"Conagra Brands Inc is in the business of trading and merchandising packaged food in a variety of categories and in various retail channels across frozen, refrigerated, and shelf-stable temperature classes in North America.",Consumer Defensive
STLD,6.18E+09,Steel Dynamics Inc.,Steel,"Steel Dynamics Inc is a steel producers and metal recycler in the United States. The company produces steel sheet products, long products and steel finishing products. It also operates metals recycling and steel fabrication business.",Basic Materials
PEP,1.85E+11,PepsiCo Inc.,Beverages - Non-Alcoholic,"PepsiCo Inc is a food, snack and beverage company. It manufactures, markets, distributes and sells convenient and enjoyable beverages, foods and snacks, serving customers and consumers in more than 200 countries and territories.",Consumer Defensive
SO,6.27E+10,Southern Company (The),Utilities - Regulated,"Southern Co is an electricity generating company. It develops, constructs, acquires, owns, and manages generation assets, including renewable energy projects, and sells electricity at market-based rates in the wholesale market.",Utilities
ETE,5127050000,Energy Transfer Equity L.P. representing Limited Partnership interests,Oil & Gas - Midstream,"Energy Transfer Equity LP is a limited partnership company. The Company through its subsidiaries, owns and operates, natural gas gathering systems, natural gas intrastate pipeline systems and gas processing plants.",Energy
COST,1.35E+11,Costco Wholesale Corporation,Retail - Defensive,Costco Wholesale Corp and its subsidiaries operate membership warehouses. The company offers its members low prices on a limited selection of nationally branded and select private-label products in merchandise categories.,Consumer Defensive
GKOS,1.80E+09,Glaukos Corporation,Medical Instruments & Equipment,Glaukos Corp is an ophthalmic medical technology company focused on the development and commercialization of breakthrough products and procedures designed to transform the treatment of glaucoma.,Healthcare
CCI,7.27E+10,Crown Castle International Corp. (REIT),REITs,"Crown Castle International Corp operates wireless tower communication sites in the United States. It owns, operates and leases shared wireless infrastructure, including towers and other structures. Site rental generates maximum revenue for the company.",Real Estate
ZTO,2.67E+10,ZTO Express (Cayman) Inc. American Depositary Shares each representing one Class A.,Business Services,ZTO Express (Cayman) Inc is an express delivery company in China. The Company provides express delivery service through its nationwide network as well as other value-added logistics services.,Industrials
GS,7.50E+10,Goldman Sachs Group Inc. (The),Brokers & Exchanges,Goldman Sachs Group Inc is engaged in capital market activities. Its services primarily include investment banking operations.,Financial Services
ZAYO,8.32E+09,Zayo Group Holdings Inc.,Communication Equipment,"Zayo Group Holdings Inc provides fiber-based communications infrastructure services. Its services include leased dark fiber, fiber to cellular towers and small cell sites, dedicated wavelength connections, Ethernet and other high-bandwidth offerings.",Technology
ALTR,2.85E+09,Altair Engineering Inc.,Application Software,"Altair Engineering Inc is a provider of enterprise-class engineering software. It also provides services related to its software including consulting, training, implementation services, and support, along with technical services for product development.",Technology
GGP,16552500000,GGP Inc.,REITs,"GGP Inc is a self-administered and self-managed real estate investment trust. It is engaged in owning, managing, leasing, and redeveloping high-quality retail properties throughout the United States.",Real Estate
EMR,4.03E+10,Emerson Electric Company,Industrial Products,"Emerson Electric Co is engaged in designing and supplying products and technology, and delivering engineering services and solutions in industrial, commercial and consumer markets.",Industrials
CNP,9.36E+09,CenterPoint Energy Inc (Holding Co),Utilities - Regulated,CenterPoint Energy Inc owns and operates a portfolio of energy-related businesses. The company primarily provides transmission and distribution services and has natural gas distribution systems in the United States.,Utilities
ALXN,2.56E+10,Alexion Pharmaceuticals Inc.,Biotechnology,Alexion Pharmaceuticals Inc is a biopharmaceutical company. It is engaged in serving patients with severe and ultra-rare disorders through the development and commercialization of life-transforming therapeutic products.,Healthcare
MA,3.13E+11,Mastercard Incorporated,Credit Services,Mastercard Inc is a technology company that generates revenue by charging fees to its customers based on both the dollar volume of card activity and the number of transactions processed through the network.,Financial Services
AWI,4.13E+09,Armstrong World Industries Inc,Building Materials,"Armstrong World Industries Inc manufactures and sells and designs flooring products and ceiling systems for use in the construction and renovation of residential, commercial and institutional buildings.",Basic Materials
ADP,6.78E+10,Automatic Data Processing Inc.,Business Services,"Automatic Data Processing Inc is a provider of miscellaneous business solutions. Its business includes provision of technology-based outsourcing solutions to employers, vehicle retailers and manufacturers.",Industrials
MULE,4784505000,MuleSoft Inc. Class A,Application Software,"MuleSoft Inc provides a platform that allows customers to connect their applications, data and devices and to enable a self-serve infrastructure through discoverable building blocks that can be used and reused to rapidly compose applications.",Technology
MNST,3.71E+10,Monster Beverage Corporation,Beverages - Non-Alcoholic,"Monster Beverage Corp develops, markets, sells and distributes energy drink beverages and/or concentrates for energy drink beverages. Its brands include Monster Energy, Java Monster, Monster Rehab, NOS, Full Throttle, Mother, among others.",Consumer Defensive
AER,4.91E+09,Aercap Holdings N.V.,Aerospace & Defense,"AerCap Holdings NV provides aircraft leasing and aviation finance services. Its activities also include aircraft asset management, corporate services, remarketing of aircraft, collecting rental, maintenance payments and monitoring aircraft maintenance.",Industrials
GTN,1.60E+09,Gray Communications Systems Inc.,Entertainment,Gray Television Inc is a television broadcast company which owns and operates television stations and digital assets in United States.,Consumer Cyclical
NCR,2.73E+09,NCR Corporation,Application Software,"NCR Corp is a technology company, which provides products and services, which enable businesses to connect, interact and transact with their customers.",Technology
AMT,1.18E+11,American Tower Corporation (REIT),Communication Services,"American Tower Corp is a real estate investment trust and an owner, operator and developer of multitenant communications real estate. The company leases the space of communications sites to wireless service providers, and wireless data providers.",Communication Services
PSTG,4.52E+09,Pure Storage Inc. Class A,Computer Hardware,"Pure Storage Inc provides data storage services. It provides flash optimized software, flash array hardware and cloud based management services.",Technology
VRX,8232120000,Valeant Pharmaceuticals International Inc.,Drug Manufacturers,"Valeant Pharmaceuticals International Inc is a specialty pharmaceutical and medical device company which develops, manufactures, and markets a range of generic and branded generic pharmaceuticals, over-the-counter products and medical devices.",Healthcare
SJM,1.24E+10,J.M. Smucker Company (The),Consumer Packaged Goods,"JM Smucker Co operates in the consumer foods industry. It deals with a range of products spanning food, beverage and pet products under well-known brands such as Folgers, Crisco, Milk-Bone, and Kibbles 'n Bits.",Consumer Defensive
ETN,3.82E+10,Eaton Corporation PLC,Industrial Products,"Eaton Corp PLC is a power management company. It provides energy-efficient solutions that help its customers effectively manage electrical, hydraulic and mechanical power. Eaton's products include UPS systems, cylinders, circuit breakers, among others.",Industrials
DUK,6.64E+10,Duke Energy Corporation (Holding Company),Utilities - Regulated,Duke Energy Corp operates regulates utilities across the US. The company distributes electricity and gas to its customers and engages in three segments: electric utilities and infrastructure; gas utilities and infrastructure; and commercial renewables.,Utilities
CL,6.28E+10,Colgate-Palmolive Company,Consumer Packaged Goods,"Colgate-Palmolive Co is a consumer products company. It provides services such as oral care, personal care, home care and pet nutrition.",Consumer Defensive
KAR,2.13E+09,KAR Auction Services Inc,Retail - Apparel & Specialty,"KAR Auction Services Inc is a used car dealer with operations in US and Canada. The firm offers a total package for wholesale-used car transactions. Its services include financing, repossessions, repairs, transportation, warranty, and inventory services.",Consumer Cyclical
NEE,1.27E+11,NextEra Energy Inc.,Utilities - Regulated,"NextEra Energy Inc is an electric power company in North America. It generates renewable energy from wind and sun. The company also owns generation, transmission and distribution facilities and has investments in gas infrastructure assets.",Utilities
PXD,1.78E+10,Pioneer Natural Resources Company,Oil & Gas - E&P,Pioneer Natural Resources Co is an independent oil and gas exploration and production company with operations in the United States. Its focus includes the Permian Basin and Eagle Ford Shale regions of Texas.,Energy
ADM,2.35E+10,Archer-Daniels-Midland Company,Consumer Packaged Goods,"Archer-Daniels Midland Co is a major processor of oilseeds, corn, wheat, and other agricultural commodities. The company's end products include vegetable oil and meal, corn sweeteners, flour, feed ingredients, and ethanol.",Consumer Defensive
VTR,1.62E+10,Ventas Inc.,REITs,"Ventas Inc is a real estate investment trust. It holds a diversified portfolio of seniors housing communities, skilled nursing facilities, medical office buildings, life science buildings, and hospitals.",Real Estate
VMW,6.14E+10,Vmware Inc. Class A,Application Software,"VMWare Inc provides virtualization and cloud infrastructure solutions. It is engaged in the development and application of virtualization technologies with x86 server-based computing, separating application software from the underlying hardware.",Technology
DKS,3.51E+09,Dick's Sporting Goods Inc,Retail - Apparel & Specialty,"Dick's Sporting Goods Inc is sporting goods retailer offering an extensive assortment of authentic, high-quality sports equipment, apparel, footwear and accessories through associates, in-store services and unique specialty shop-in-shops.",Consumer Cyclical
LRCX,4.39E+10,Lam Research Corporation,Semiconductors,Lam Research Corp functions in the semiconductor industry. It develops and sells semiconductor processing systems that are used in the fabrication of integrated circuits.,Technology
NXPI,3.11E+10,NXP Semiconductors N.V.,Semiconductors,"NXP Semiconductors NV is a semiconductor company. It mainly provides high-performance mixed signal and standard product solutions for automotive, identification, wireless infrastructure, industrial, mobile, consumer and computing applications.",Technology
CE,1.15E+10,Celanese Corporation Series A,Chemicals,Celanese Corp is a chemical producer. It focus is to produce industrial specialties and acetyl which are used in various end markets including coatings and adhesives. It also produces cellulose derivatives.,Basic Materials
HUN,4.27E+09,Huntsman Corporation,Chemicals,Huntsman Corp acts as a manufacturer of differentiated organic chemical products and of inorganic chemical products. Its products mainly comprise a broad range of chemicals and formulations which are used in various applications.,Basic Materials
GPK,4.20E+09,Graphic Packaging Holding Company,Packaging & Containers,"Graphic Packaging Holding Co is a holding company engaged in providing paper-based packaging solutions to food, beverage and other consumer products companies. It is a producer of folding cartons in Europe, Americas and Asia Pacific.",Consumer Cyclical
WELL,2.49E+10,Welltower Inc.,REITs,"Welltower Inc is engaged in the transformation of healthcare infrastructure. It invests in seniors housing operators, post-acute providers and health systems to improve people's wellness and overall health care experience.",Real Estate
TJX,6.74E+10,TJX Companies Inc. (The),Retail - Apparel & Specialty,"TJX Companies Inc is an off-price apparel and home fashions retailer in the United States and other countries. Its stores offer family apparel, including footwear and accessories, home fashions, such as home basics, accent furniture, lamps, among others.",Consumer Cyclical
PLD,7.19E+10,ProLogis Inc.,REITs,"Prologis Inc is a real estate investment trust that develops, acquires, and operates industrial and logistics facilities across over 18 countries. It operates in two business segments that are Real Estate Operations and Strategic Capital.",Real Estate
KSS,4.23E+09,Kohl's Corporation,Retail - Apparel & Specialty,"Kohl's Corp is an American broadlines retailer. It operates department stores that sell moderately priced exclusive and national brand apparel, footwear, accessories, beauty and home products. The company also has an e-commerce platform.",Consumer Cyclical
XEC,3.24E+09,Cimarex Energy Co,Oil & Gas - E&P,Cimarex Energy Cois involved in the oil & gas industry. Its primary activities include oil and gas exploration and production.,Energy
DRI,1.05E+10,Darden Restaurants Inc.,Restaurants,"Darden Restaurants Inc is engaged in the food & beverage industry. Its primary occupation involves the operation of dining restaurants under trade names such as Olive Garden, LongHorn Steakhouse and Bahama Breeze.",Consumer Cyclical
OZRK,5196240000,Bank of the Ozarks,Banks,"Bank of the Ozarks Inc operates in the financial domain of the United States. Its main occupation is that of banking operations, through which it renders real estate loans.",Financial Services
ATI,1.43E+09,Allegheny Technologies Incorporated,Industrial Products,"Allegheny Technologies Inc is a diversified specialty metals producer. Its products include titanium and titanium alloys, nickel-based alloys and specialty steels, precision forgings, castings and machined components, and zirconium.",Industrials
VFC,2.51E+10,V.F. Corporation,Manufacturing - Apparel & Furniture,"VF Corp owns a large portfolio of lifestyle brands including The North Face, Timberland, Vans, Lee, Wrangler, Nautica, and others. The company offers product into outdoor and action sports, jeanswear, imagewear, and sportswear.",Consumer Cyclical
BDN,2.04E+09,Brandywine Realty Trust,REITs,"Brandywine Realty Trust is a self-administered and self-managed REIT. The company provides leasing, property management, development, redevelopment, acquisition and other tenant-related services.",Real Estate
HON,1.11E+11,Honeywell International Inc.,Industrial Products,"Honeywell International Inc is a diversified technology and manufacturing company serving customers with aerospace products and services, energy efficient products and solutions, specialty chemicals, electronic, refining and petrochemicals.",Industrials
YNDX,1.38E+10,Yandex N.V.,Online Media,"Yandex NV is an internet company. It offers access to its search engine through personal computers, mobile phones, tablets, and navigation and other digital devices.",Technology
USG,6219070000,USG Corporation,Building Materials,"USG Corp produces wallboard and ceiling tile in the United States. The company manufactures and sells gypsum wallboard (drywall), wallboard finishing materials, tile backers and underlayment, and ceiling tile and grid used for construction.",Basic Materials
GOOGL,9.91E+11,Alphabet Inc.,Online Media,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads.",Technology
ICE,5.33E+10,Intercontinental Exchange Inc.,Brokers & Exchanges,"Intercontinental Exchange Inc is an operator of regulated exchanges, clearing houses and listings venues, and a provider of data services for commodity and financial markets. It serves the risk management needs of global markets.",Financial Services
WY,1.77E+10,Weyerhaeuser Company,Forest Products,"Weyerhaeuser Co is a real estate investment trust and is engaged in selling timber. Its objective is to maximize the long-term value of timberlands that it owns. It derives its revenue from investments in timberland, including the sale of standing timber.",Basic Materials
BLL,2.36E+10,Ball Corporation,Packaging & Containers,Ball Corp is the world's largest metal can manufacturer. The company primarily serves the North American food can market with its packaging products and the US defense industry by offering various components used in the space mission.,Consumer Cyclical
CGNX,9.86E+09,Cognex Corporation,Computer Hardware,Cognex Corp is a provider of machine vision products that capture and analyze visual information in order to automate tasks in manufacturing processes. Its products are used to automate the manufacture and tracking of discrete items.,Technology
AMGN,1.32E+11,Amgen Inc.,Biotechnology,"Amgen Inc is a U.S. based biotechnology company, with historical expertise in renal disease and cancer supportive care products. The firm discovers, develops, manufactures and delivers human therapeutics.",Healthcare
FSLR,5.62E+09,First Solar Inc.,Semiconductors,"First Solar Inc is a provider of solar energy solutions. It designs, manufactures and sells PV solar modules with a thin-film semiconductor technology. It also manufactures crystalline silicon solar modules.",Technology
IVZ,5.11E+09,Invesco Ltd,Asset Management,Invesco Ltd is an independent investment management firm. The company provides retail and institutional clients with an array of investment management capabilities. It has presence in the institutional and retail markets.,Financial Services
DG,4.69E+10,Dollar General Corporation,Retail - Defensive,"Dollar General Corp is a discount retailer in the United States. It offers a selection of merchandise, including consumables, seasonal, home products and apparel.",Consumer Defensive
HCP,1.51E+10,HCP Inc.,REITs,"HCP Inc is a real estate investment trust. It invests in real estate serving the healthcare industry in the U.S. It acquires, develops, leases, manages and disposes of healthcare real estate and provides financing to healthcare providers.",Real Estate
PF,8002800000,Pinnacle Foods Inc.,Consumer Packaged Goods,"Pinnacle Foods Inc manufactures, markets and distributes branded food products in North America. Its brands include Armour, Aunt Jemima, Breakfast, Duncan Hines and Vlasic among others.",Consumer Defensive
PK,3.35E+09,Park Hotels & Resorts Inc.,REITs,"Park Hotels & Resorts Inc is a lodging real estate company. It portfolio consists of approximately 67 premium-branded hotels and resorts with over 35,000 rooms located in prime United States and internationally.",Real Estate
TOL,4.41E+09,Toll Brothers Inc.,Homebuilding & Construction,"Toll Brothers Inc is a luxury homebuilder in the United States. The company caters to move-up, active-adult, and second-home buyers. It also builds luxury for-sale and for-rent properties in urban centers, primarily on the East Coast.",Consumer Cyclical
PDCO,1.87E+09,Patterson Companies Inc.,Medical Distribution,"Patterson Companies Inc is a value-added specialty distributor. It operates through its two strategic business units, Patterson Dental and Patterson Animal Health, offering similar products and services to different customer bases.",Healthcare
Z,1.35E+10,Zillow Group Inc.,Real Estate Services,"Zillow Group Inc provides real estate and home-related information marketplaces on mobile and web-based platforms. It helps customers on each stage of the home lifecycle such as renting, buying, selling, financing, and home improvement.",Real Estate
BCO,2.63E+09,Brinks Company (The),Consulting & Outsourcing,"The Brink's Co along with its subsidiaries provides secure logistics & security solutions including cash-in-transit, ATM replenishment and maintenance, cash management services, including vault outsourcing, money processing, and intelligent safe services.",Industrials
CME,6.85E+10,CME Group Inc.,Brokers & Exchanges,CME Group Inc is an operator of financial exchanges. It offers products like futures & options and foreign exchange.,Financial Services
PPBI,2.31E+09,Pacific Premier Bancorp Inc,Banks,"Pacific Premier Bancorp Inc, through its subsidiaries, provides banking products and services. It offers cash management, electronic banking services, credit facilities and retirement accounts, among others.",Financial Services
JMEI,2.28E+08,Jumei International Holding Limited American Depositary Shares each representing one Class A,Retail - Apparel & Specialty,"Jumei International Holding Ltd is an online retailer of beauty products. The product category includes cosmetics, skin care, cosmetic applicators, fragrance and body care.",Consumer Cyclical
